Source,CH1
Second,Volt
-0.02249999844,78.00000,
-0.02249600000,78.00000,
-0.02249200156,78.00000,
-0.02248800000,76.00000,
-0.02248400000,78.00000,
-0.02248000000,78.00000,
-0.02247600000,78.00000,
-0.02247200000,78.00000,
-0.02246800000,78.00000,
-0.02246400000,78.00000,
-0.02246000000,78.00000,
-0.02245600000,78.00000,
-0.02245200000,78.00000,
-0.02244800000,78.00000,
-0.02244400000,78.00000,
-0.02244000000,78.00000,
-0.02243600000,78.00000,
-0.02243200000,80.00000,
-0.02242800000,80.00000,
-0.02242400000,78.00000,
-0.02242000000,78.00000,
-0.02241600000,78.00000,
-0.02241200000,80.00000,
-0.02240800000,78.00000,
-0.02240400000,80.00000,
-0.02239999844,80.00000,
-0.02239600000,80.00000,
-0.02239199844,80.00000,
-0.02238800000,80.00000,
-0.02238399844,80.00000,
-0.02238000000,80.00000,
-0.02237599844,80.00000,
-0.02237200000,80.00000,
-0.02236800156,78.00000,
-0.02236400000,80.00000,
-0.02236000000,80.00000,
-0.02235600000,80.00000,
-0.02235200000,80.00000,
-0.02234800000,80.00000,
-0.02234400000,80.00000,
-0.02234000000,82.00000,
-0.02233600000,80.00000,
-0.02233200000,80.00000,
-0.02232800000,80.00000,
-0.02232400000,80.00000,
-0.02232000000,82.00000,
-0.02231600000,80.00000,
-0.02231200000,80.00000,
-0.02230800000,80.00000,
-0.02230400000,82.00000,
-0.02230000000,80.00000,
-0.02229600000,82.00000,
-0.02229200000,82.00000,
-0.02228800000,80.00000,
-0.02228400000,80.00000,
-0.02228000000,82.00000,
-0.02227599844,82.00000,
-0.02227200000,82.00000,
-0.02226799844,82.00000,
-0.02226400000,82.00000,
-0.02225999844,82.00000,
-0.02225600000,82.00000,
-0.02225200156,82.00000,
-0.02224800000,82.00000,
-0.02224400156,82.00000,
-0.02224000000,82.00000,
-0.02223600000,82.00000,
-0.02223200000,82.00000,
-0.02222800000,82.00000,
-0.02222400000,82.00000,
-0.02222000000,82.00000,
-0.02221600000,82.00000,
-0.02221200000,82.00000,
-0.02220800000,82.00000,
-0.02220400000,82.00000,
-0.02220000000,82.00000,
-0.02219600000,82.00000,
-0.02219200000,84.00000,
-0.02218800000,82.00000,
-0.02218400000,82.00000,
-0.02218000000,84.00000,
-0.02217600000,82.00000,
-0.02217200000,84.00000,
-0.02216800000,82.00000,
-0.02216400000,82.00000,
-0.02216000000,84.00000,
-0.02215600000,82.00000,
-0.02215199844,84.00000,
-0.02214800000,84.00000,
-0.02214399844,84.00000,
-0.02214000000,84.00000,
-0.02213599844,84.00000,
-0.02213200000,84.00000,
-0.02212800156,84.00000,
-0.02212400000,84.00000,
-0.02212000156,84.00000,
-0.02211600000,84.00000,
-0.02211200000,84.00000,
-0.02210800000,84.00000,
-0.02210400000,84.00000,
-0.02210000000,84.00000,
-0.02209600000,84.00000,
-0.02209200000,84.00000,
-0.02208800000,84.00000,
-0.02208400000,84.00000,
-0.02208000000,84.00000,
-0.02207600000,84.00000,
-0.02207200000,84.00000,
-0.02206800000,84.00000,
-0.02206400000,84.00000,
-0.02206000000,84.00000,
-0.02205600000,84.00000,
-0.02205200000,84.00000,
-0.02204800000,84.00000,
-0.02204400000,84.00000,
-0.02204000000,84.00000,
-0.02203600000,84.00000,
-0.02203200000,84.00000,
-0.02202799844,84.00000,
-0.02202400000,84.00000,
-0.02201999844,86.00000,
-0.02201600000,84.00000,
-0.02201199844,86.00000,
-0.02200800000,84.00000,
-0.02200400156,86.00000,
-0.02200000000,86.00000,
-0.02199600156,84.00000,
-0.02199200000,86.00000,
-0.02198800000,86.00000,
-0.02198400000,86.00000,
-0.02198000000,84.00000,
-0.02197600000,86.00000,
-0.02197200000,86.00000,
-0.02196800000,84.00000,
-0.02196400000,86.00000,
-0.02196000000,84.00000,
-0.02195600000,86.00000,
-0.02195200000,86.00000,
-0.02194800000,86.00000,
-0.02194400000,86.00000,
-0.02194000000,86.00000,
-0.02193600000,86.00000,
-0.02193200000,86.00000,
-0.02192800000,86.00000,
-0.02192400000,86.00000,
-0.02192000000,86.00000,
-0.02191600000,84.00000,
-0.02191199844,86.00000,
-0.02190800000,86.00000,
-0.02190399844,86.00000,
-0.02190000000,86.00000,
-0.02189599844,86.00000,
-0.02189200000,86.00000,
-0.02188799844,86.00000,
-0.02188400000,86.00000,
-0.02188000156,86.00000,
-0.02187600000,88.00000,
-0.02187200000,84.00000,
-0.02186800000,86.00000,
-0.02186400000,86.00000,
-0.02186000000,86.00000,
-0.02185600000,86.00000,
-0.02185200000,86.00000,
-0.02184800000,86.00000,
-0.02184400000,86.00000,
-0.02184000000,86.00000,
-0.02183600000,86.00000,
-0.02183200000,86.00000,
-0.02182800000,86.00000,
-0.02182400000,86.00000,
-0.02182000000,88.00000,
-0.02181600000,88.00000,
-0.02181200000,86.00000,
-0.02180800000,88.00000,
-0.02180400000,86.00000,
-0.02180000000,86.00000,
-0.02179600000,88.00000,
-0.02179200000,86.00000,
-0.02178799844,86.00000,
-0.02178400000,86.00000,
-0.02177999844,86.00000,
-0.02177600000,86.00000,
-0.02177199844,86.00000,
-0.02176800000,86.00000,
-0.02176399844,88.00000,
